sample_time,seconds,type,track,song_row,chain_row,phrase_row,instrument,frequency,volume
1,0.000021,TICK,0,0,0,0,0,0.000,0.0000
1,0.000021,NOTE_ON,0,0,0,0,0,261.626,1.0000
1,0.000021,NOTE_ON,2,0,0,0,2,261.626,0.6299
1,0.000021,NOTE_ON,3,0,0,0,0,65.406,0.8819
1,0.000021,NOTE_OFF,4,0,0,0,0,0.000,0.0000
1,0.000021,NOTE_OFF,5,0,0,0,0,0.000,0.0000
1,0.000021,NOTE_OFF,6,0,0,0,0,0.000,0.0000
1,0.000021,NOTE_OFF,7,0,0,0,0,0.000,0.0000
969,0.020188,TICK,0,0,0,0,0,0.000,0.0000
969,0.020188,NOTE_OFF,4,0,0,0,0,0.000,0.0000
969,0.020188,NOTE_OFF,5,0,0,0,0,0.000,0.0000
969,0.020188,NOTE_OFF,6,0,0,0,0,0.000,0.0000
969,0.020188,NOTE_OFF,7,0,0,0,0,0.000,0.0000
1937,0.040354,TICK,0,0,0,0,0,0.000,0.0000
1937,0.040354,NOTE_OFF,2,0,0,0,0,0.000,0.0000
1937,0.040354,NOTE_OFF,4,0,0,0,0,0.000,0.0000
1937,0.040354,NOTE_OFF,5,0,0,0,0,0.000,0.0000
1937,0.040354,NOTE_OFF,6,0,0,0,0,0.000,0.0000
1937,0.040354,NOTE_OFF,7,0,0,0,0,0.000,0.0000
2905,0.060521,TICK,0,0,0,0,0,0.000,0.0000
2905,0.060521,NOTE_OFF,4,0,0,0,0,0.000,0.0000
2905,0.060521,NOTE_OFF,5,0,0,0,0,0.000,0.0000
2905,0.060521,NOTE_OFF,6,0,0,0,0,0.000,0.0000
2905,0.060521,NOTE_OFF,7,0,0,0,0,0.000,0.0000
3872,0.080667,TICK,0,0,0,0,0,0.000,0.0000
3872,0.080667,NOTE_OFF,4,0,0,0,0,0.000,0.0000
3872,0.080667,NOTE_OFF,5,0,0,0,0,0.000,0.0000
3872,0.080667,NOTE_OFF,6,0,0,0,0,0.000,0.0000
3872,0.080667,NOTE_OFF,7,0,0,0,0,0.000,0.0000
4840,0.100833,TICK,0,0,0,0,0,0.000,0.0000
4840,0.100833,NOTE_OFF,4,0,0,0,0,0.000,0.0000
4840,0.100833,NOTE_OFF,5,0,0,0,0,0.000,0.0000
4840,0.100833,NOTE_OFF,6,0,0,0,0,0.000,0.0000
4840,0.100833,NOTE_OFF,7,0,0,0,0,0.000,0.0000
5808,0.121000,TICK,0,0,0,0,0,0.000,0.0000
5808,0.121000,NOTE_OFF,4,0,0,0,0,0.000,0.0000
5808,0.121000,NOTE_OFF,5,0,0,0,0,0.000,0.0000
5808,0.121000,NOTE_OFF,6,0,0,0,0,0.000,0.0000
5808,0.121000,NOTE_OFF,7,0,0,0,0,0.000,0.0000
6776,0.141167,TICK,0,0,0,0,0,0.000,0.0000
6776,0.141167,NOTE_OFF,4,0,0,0,0,0.000,0.0000
6776,0.141167,NOTE_OFF,5,0,0,0,0,0.000,0.0000
6776,0.141167,NOTE_OFF,6,0,0,0,0,0.000,0.0000
6776,0.141167,NOTE_OFF,7,0,0,0,0,0.000,0.0000
7743,0.161312,TICK,0,0,0,0,0,0.000,0.0000
7743,0.161312,NOTE_OFF,4,0,0,0,0,0.000,0.0000
7743,0.161312,NOTE_OFF,5,0,0,0,0,0.000,0.0000
7743,0.161312,NOTE_OFF,6,0,0,0,0,0.000,0.0000
